"ime","cena","firma","kategorija","prodajalec","popust_procenti","popust_euro"
"ASUS ROG Strix G15 G513RM-HQ156W 39,6 cm (15,6"") WQHD IPS 165Hz/AMD Ryzen 7 6800H/16GB DDR5/1TB/NVMe GeForce RTX3060 6GB GDDR6/W11H prenosni računalnik","2.099,99 €","ASUS","Gaming prenosniki","Big Bang","0 %","0 €"
"DELL Vostro 5502 i3-1115G4/8GB/512GB/W10 PRO prenosni računalnik","689,99 €","DELL","Poslovni prenosniki","Big Bang","0 %","0 €"
"LENOVO IdeaPad Flex 5 14""/FHD/R5 5500U/8GB/512GB/W10 Home prenosni računalnik","799,99 €","LENOVO","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"ASUS ROG Strix SCAR 15 G533ZX-LN097 i9/32/16 prenosni računalnik","3.499,99 €","ASUS","Gaming prenosniki","Big Bang","0 %","0 €"
"DELL Latitude 5530 15,6""/i7-1255U/16GB/512GB/W11 Pro prenosni računalnik","1.879,99 €","DELL","Poslovni prenosniki","Big Bang","0 %","0 €"
"LENOVO ThinkPad T15 G2 i5-1135G7/39,6 cm (15,6"") FHD/16GB/512GB/UMA/W11P prenosni računalnik črn","1.613,99 €","LENOVO","Poslovni prenosniki","Big Bang","0 %","0 €"
"DELL G15 5515 Ryzen 5 560 15,6''FHD/RTX3050 4GB/W11 prenosni računalnik","1.299,99 €","DELL","Gaming prenosniki","Big Bang","0 %","0 €"
"GIGABYTE A5 X1C 15.6''/R9/16GB/1TB/W10H prenosni računalnik","1.603,99 €","GIGABYTE","Gaming prenosniki","Big Bang","0 %","0 €"
"DELL Latitude 5521 i7-118","1.947,99 €","DELL","Poslovni prenosniki","Big Bang","0 %","0 €"
"M1 Pro 32GB Ram 512 SSD","2.859,99 €","APPLE","Poslovni prenosniki","Big Bang","0 %","0 €"
"ASUS GA401QE-HZ049T R9 16G 1T 3050Ti W10 prenosni računalnik","1.869,99 €","ASUS","Gaming prenosniki","Big Bang","0 %","0 €"
"DELL Vostro 5502 15,6''/i3/8GB/256GB/W10P prenosni računalnik","513,99 €","DELL","Poslovni prenosniki","Big Bang","0 %","0 €"
"DELL Latitude 5521 i7-118 DELL Latitude 5521 i7-118 prenosni računalnik","1.899,99 €","DELL","Poslovni prenosniki","Big Bang","0 %","0 €"
"ASUS B1400CEAE-EB3496 14''/i3/8GB/512GB/W10P prenosni računalnik","633,95 €","ASUS","Poslovni prenosniki","Big Bang","0 %","0 €"
"DELL LATITUDE 9520 i7-1185G7/16GB/SSD 512GB/15,0""FHD/Touch/UMA/W10Pro prenosni računalnik","2.592,99 €","DELL","Poslovni prenosniki","Big Bang","0 %","0 €"
"ASUS ExpertBook B1400CEAE-EK0331R 14''/i5/12GB/512GB/W10P prenosni računalnik","834,99 €","ASUS","Poslovni prenosniki","Big Bang","0 %","0 €"
"ASUS ROG Strix SCAR 15 G533ZX-LN097 i9/32/W11 Home prenosni računalnik","3.579,99 €","ASUS","Gaming prenosniki","Big Bang","0 %","0 €"
"ASUS ExpertBook B1 B1500CEAE-BQ3074 39,6 cm (15,6"")/i5-1135G7/16GB/512GB/W10P prenosni računalnik","849,99 €","ASUS","Poslovni prenosniki","Big Bang","0 %","0 €"
"ACER Aspire 5 A515-45-R5X9 AMD Ryzen 7 5700U 24GB 512GB NoOS prenosni računalnik","839,99 €","Acer","Poslovni prenosniki","Big Bang","0 %","0 €"
"DELL Latitude 3520 i3-1115G4/8GB/SSD 256GB/15,6''FHD/UMA/W11Pro prenosni računalnik","999,99 €","DELL","Poslovni prenosniki","Big Bang","0 %","0 €"
"HP ProBook 455 G8 39,6 cm (15,6"")/R7-5800U/AMD Radeon/8GB/512GB/W10P prenosni računalnik","989,99 €","HP","Poslovni prenosniki","Big Bang","0 %","0 €"
"Apple MacBook Pro 14"" 202","3.299,99 €","APPLE","Poslovni prenosniki","Big Bang","0 %","0 €"
"VivoBook 15 OLED K513EA i7/16G/512G/OLED/W10Pro","1.229,99 €","ASUS","Poslovni prenosniki","Big Bang","0 %","0 €"
"M1 Max chip","5.799,99 €","APPLE","Poslovni prenosniki","Big Bang","0 %","0 €"
"M1 Max with 10C CPU","4.499,99 €","APPLE","Poslovni prenosniki","Big Bang","0 %","0 €"
"MBP 16.2 SG/M1PRO/","3.599,99 €","APPLE","Poslovni prenosniki","Big Bang","0 %","0 €"
"cto","3.899,99 €","APPLE","Poslovni prenosniki","Big Bang","0 %","0 €"
"DELL LATITUDE 5420 i5-1145G7/16GB/SSD 512G/14,0""FHD//UMA/W10 Pro prenosni računalnik","1.374,99 €","DELL","Poslovni prenosniki","Big Bang","0 %","0 €"
"ASUS EXPERTBOOK B1 B1500CEAE-EJ0269R i3-1115G4/8GB/SSD 256GB NVMe/15,6''FHD/Intel UHD/W10Pro prenosni raunalnik","696,99 €","ASUS","Poslovni prenosniki","Big Bang","0 %","0 €"
