"ime","cena","firma","kategorija","prodajalec","popust_procenti","popust_euro"
"Notesnik RNW 14,0&quot; HP 840 G5 i5-8350U/8GB/SSD128GB/1920x1080/WLAN/BT/CAM/FP/Win 10 Pro COA/SLO gravura","421,44 €","HP","Prenosniki za vsakdanjo uporabo","E-misija d.o.o.","0 %","0 €"
"Notesnik RNW 14,0&quot; Lenovo X1 Carbon 7th i5-8265U/16GB/SSD256GB/1920x1080/WLAN/BT/CAM/FP/WIN 10 Pro COA/SLO gravura","767,04 €","LENOVO","Prenosniki za vsakdanjo uporabo","E-misija d.o.o.","0 %","0 €"
"Notesnik 15,6&quot; HP 850 G8 EliteBook i7-1165G7/8GB/SSD256GB/1920x1080/WLAN/BT/IR CAM/FP/Smart card reader/Win 10 Pro/SLO gravura/novo (2Y2S4EA)","1.093,44 €","HP","Prenosniki za vsakdanjo uporabo","E-misija d.o.o.","0 %","0 €"
"Notesnik RNW 14,0&quot; HP 840 G6 i5-8365U/8GB/SSD256GB/1920X1080/WLAN/BT/CAM/Win 10 Pro/tipkovnica SLO gravura/A+","504,00 €","HP","Prenosniki za vsakdanjo uporabo","E-misija d.o.o.","0 %","0 €"
"Notesnik RNW 14,0&quot; HP 840 G2 i7-5600U/8GB/SSD256GB/1920x1080/WLAN/BT/CAM/Win 8 PRO COA/tipkovnica SLO gravura","315,84 €","HP","Prenosniki za vsakdanjo uporabo","E-misija d.o.o.","0 %","0 €"
"Notesnik RNW 15,6&quot; HP 855 G7 R7-4750U/16GB/SSD512GB/1920x1080/Touch/WLAN/BT/CAM/FP/BL/Win 11 Pro/SLO gravura/A+/24m garancije","878,40 €","HP","Prenosniki za vsakdanjo uporabo","E-misija d.o.o.","0 %","0 €"
"Mobilna del. postaja RNW 15,6&quot; Lenovo ThinkPad P53 i7-9850H/32GB/SSD512GB/ 1920x1080/WLAN/BT/CAM/FP/ T1000/WIN 10 Pro COA/SLO gravura/36m garancije","1.022,40 €","LENOVO","Prenosniki za vsakdanjo uporabo","E-misija d.o.o.","0 %","0 €"
"Notesnik RNW 15,6&quot; HP Elitebook 850 G6 i5-8365U/16GB/SSD256GB/1920x1080/WLAN/BT/CAM/FP/Win 10 Pro/SLO gravura/A+/36m garancije","661,44 €","HP","Prenosniki za vsakdanjo uporabo","E-misija d.o.o.","0 %","0 €"
"Notesnik 14,0&quot; Lenovo T14 G1 i5-10210U/16GB/SSD256GB/1920x1080/WLAN/BT/CAM/BL//Win 10 Pro/SLO gravura/novo","811,20 €","LENOVO","Prenosniki za vsakdanjo uporabo","E-misija d.o.o.","0 %","0 €"
"Notesnik RNW 14&quot; HP 840 G7 EliteBook i7-10610U/8GB/SSD256GB/1920x1080/WLAN/BT/CAM/Win 10 Pro/LTE/US-INT/SLO gravura/HP Renew","868,80 €","HP","Prenosniki za vsakdanjo uporabo","E-misija d.o.o.","0 %","0 €"
"Mobilna del. postaja RNW 15,6&quot; HP Zbook 15 G5 i7-8850H/40GB/SSD512GB/ 1920x1080/WLAN/BT/CAM/FP/P1000/W10P COA/SLO gravura/36m garancije","959,04 €","HP","Prenosniki za vsakdanjo uporabo","E-misija d.o.o.","0 %","0 €"
"Notesnik RNW 15,6&quot; HP 250 G7 i5-8265U/8GB/SSD256GB/1920x1080/WLAN/BT/CAM/Win 10 Pro CMAR/SLO gravura","369,60 €","HP","Prenosniki za vsakdanjo uporabo","E-misija d.o.o.","0 %","0 €"
"Notesnik RNW 15,6&quot; Lenovo ThinkPad T15 Gen1 i5-10210U/8GB/SSD256GB/1920x1080/WLAN/BT/CAM/FP/Win 10 Pro Cmar/tipkovnica SLO gravura","671,04 €","LENOVO","Prenosniki za vsakdanjo uporabo","E-misija d.o.o.","0 %","0 €"
"Notesnik DEMO 14,0&quot; HP 640 G8 i5-1135G7/8GB/SSD256GB/1920x1080/WLAN/BT/CAM/HDMI/Win 10 Pro/SLO gravura/A+","699,84 €","HP","Prenosniki za vsakdanjo uporabo","E-misija d.o.o.","0 %","0 €"
"Notesnik RNW 15,6&quot; HP Zbook 15 G3 i7-6700HQ/16GB/SSD512GB/1920x1080/WLAN/BT/CAM/FP/M1000M/WIN 10 Pro COA/SLO gravura","504,00 €","HP","Prenosniki za vsakdanjo uporabo","E-misija d.o.o.","0 %","0 €"
"Notesnik RNW 14&quot; HP 840 G7 EliteBook i5-10310U/16GB/SSD256GB/1920x1080/WLAN/BT/CAM/FP/HDMIWin 10 Pro/SLO gravura/A+/36m garancije","782,40 €","HP","Prenosniki za vsakdanjo uporabo","E-misija d.o.o.","0 %","0 €"
"Notesnik 14,0&quot; HP X360 1040 G9 i5-1235U/16GB/SSD512GB/1920x1080/touch/WLAN/BT/CAM/FP/Win 10 Pro/SLO gravura/odprta embalaža/36m garancije","1.573,44 €","HP","Prenosniki za vsakdanjo uporabo","E-misija d.o.o.","0 %","0 €"
"Mobilna del. postaja RNW 15,6&quot; HP Zbook 15 G6 i7-9850H/16GB/SSD512GB/ 1920x1080/WLAN/BT/CAM/FP/ T1000/Win 10 Pro COA/SLO gravura/36m garancije","993,60 €","HP","Prenosniki za vsakdanjo uporabo","E-misija d.o.o.","0 %","0 €"
"Notesnik RNW 15,6&quot; HP 650 G8 i5-1135G7/8GB/SSD256GB/1920x1080/WLAN/BT/CAM/FP//Win 10 Pro CMAR/SLO gravura/36m garancije/A+","888,00 €","HP","Prenosniki za vsakdanjo uporabo","E-misija d.o.o.","0 %","0 €"
"Mobilna del. postaja RNW 15,6&quot; Lenovo ThinkPad P52 i7-8850H/32GB/SSD512GB/ 1920x1080/WLAN/BT/CAM/FP/ P1000/WIN 10 Pro COA/SLO gravura/36m garancije","916,80 €","LENOVO","Prenosniki za vsakdanjo uporabo","E-misija d.o.o.","0 %","0 €"
"Mobilna del. postaja RNW 15,6&quot; HP Zbook 15u G5 i7-8650U/16GB/SSD256GB/1920x1080/WLAN/BT/CAM/FP/WX 3100/WIN10 Pro COA/SLO gravura/36m garancije","728,64 €","HP","Prenosniki za vsakdanjo uporabo","E-misija d.o.o.","0 %","0 €"
"Prenosnik HP Pavilion x360 14-dy0008na Touch 2v1 / i3 / RAM 8 GB / SSD Disk / 14,0″ FHD","454,00 €","HP","Prenosniki za vsakdanjo uporabo","Geri Computer d.o.o.","0 %","0 €"
"Mobilna del. postaja RNW 15,6&quot; HP Zbook 15u G6 i7-8665U/32GB/SSD512GB/1920x1080/Radeon Pro WX 3200/WLAN/BT/CAM/FP/WIN10 Pro COA/SLO gravura/36m garancije","795,84 €","HP","Prenosniki za vsakdanjo uporabo","E-misija d.o.o.","0 %","0 €"
"Notesnik DEMO 15,6&quot; HP 255 G8 QC R5-3500U/8GB/SSD256GB/1920x1080/WLAN/BT/CAM/Win 10 Pro/SLO gravura/A+","383,04 €","HP","Prenosniki za vsakdanjo uporabo","E-misija d.o.o.","0 %","0 €"
"Notesnik RNW 15.6&quot; HP 255 G8 R3-3250U/8GB/SSD256GB/1920x1080/WLAN/BT/CAM/Win 10 Pro/SLO gravura/HP Renew","383,04 €","HP","Prenosniki za vsakdanjo uporabo","E-misija d.o.o.","0 %","0 €"
"Notesnik RNW 14,0&quot; Lenovo X1 Carbon 5th i5-7300U/8GB/SSD256GB/1920x1080/WLAN/BT/CAM/FP/WIN 10 Pro COA/SLO gravura","475,20 €","LENOVO","Prenosniki za vsakdanjo uporabo","E-misija d.o.o.","0 %","0 €"
"MacBook Air 13"" 2013 Core i5 1,3 Ghz 4 Gb 64 Gb SSD Silver","288,00 €","APPLE","Poslovni prenosniki","Okamac","0 %","0 €"
"Mobilna Delovna postaja Lenovo ThinkPad P52, Intel Core i7-8850HQ, 2.9GHz, 32 GB RAM DDR4, 1TB SSD, 15.6""UHD Touch, Quadro P3200 6GB, Cam, Win 10, Refurbished | Črna | 3840 x 2160","999,00 €","LENOVO","Multimedijski prenosniki","RECOSI, d.o.o., so.p.","0 %","0 €"
"Prenosnik HP Victus 16-d1034nt RTX 3060 (6 GB) / 14 core / i7 / RAM 16 GB / SSD Disk / 16,1″ FHD","1.286,00 €","HP","Gaming prenosniki","Geri Computer d.o.o.","0 %","0 €"
"Prenosnik HP Victus 16-d1045nt | RTX 3050 Titanium (4 GB) / i5 / RAM 8 GB / SSD Disk / 16,1″ FHD","949,00 €","HP","Gaming prenosniki","Geri Computer d.o.o.","0 %","0 €"
"MacBook Pro Retina 13"" 2013 Core i5 2,6 Ghz 8 Gb 128 Gb SSD Silver","269,00 €","APPLE","Poslovni prenosniki","Okamac","0 %","0 €"
"MacBook Pro Touch Bar 15"" 2017"" Core i7 3,1 Ghz 16 Gb 256 Gb SSD Silver","951,00 €","APPLE","Poslovni prenosniki","Okamac","0 %","0 €"
"MacBook Pro Retina 14"" 2021 Apple M1 Max 3,2 Ghz 64 Gb 1 Tb SSD Space Grey","3.375,00 €","APPLE","Poslovni prenosniki","Okamac","0 %","0 €"
"Prenosnik Lenovo 39,6 cm (15,6&quot;) ThinkPad L15 G4 1920x1080 IPS 250nit i7-1355U/32GB/SSD1TB/BL/FP/Intel Iris XE/Win11Pro prenosni računalnik","1.633,99 €","LENOVO","Prenosni računalniki","Big Bang","0 %","0 €"
"Mobilna delovna postaja HP Zbook 15 G6, i7-9850H, 2.6GHz, 16 GB RAM DDR4, 512 GB SSD, 15.6""FHD, NVIDIA Quadro RTX 3000 6GB, Cam, Win 10 | Siva | 1920 x 1080","999,00 €","HP","Multimedijski prenosniki","RECOSI, d.o.o., so.p.","0 %","0 €"
"MacBook Pro Retina 13"" 2013 Core i5 2,6 Ghz 8 Gb 256 Gb SSD Silver","293,00 €","APPLE","Poslovni prenosniki","Okamac","0 %","0 €"
"MacBook Pro Retina 13"" 2013 Core i5 2,6 Ghz 8 Gb 512 Gb SSD Silver","317,00 €","APPLE","Poslovni prenosniki","Okamac","0 %","0 €"
"Prenosnik HP Elitebook 840 G3 - Intel Core i5 6300U, 2.4GHz, 8GB, 256GB SSD, 14 FHD, Intel HD, Cam, Win 10 Pro | Siva | 1920 x 1080","299,00 €","HP","Poslovni prenosniki","RECOSI, d.o.o., so.p.","0 %","0 €"
"MacBook Air 13"" 2013 Core i5 1,3 Ghz 4 Gb 1 Tb SSD Silver","384,00 €","APPLE","Poslovni prenosniki","Okamac","0 %","0 €"
"ASUS VivoBook Pro 15 OLED K3500PH-L1081W","899,00 €","ASUS","Gaming prenosniki","Mojracunalnik.com","0 %","0 €"
"MacBook Pro Touch Bar 15"" 2017"" Core i7 3,1 Ghz 16 Gb 1 Tb SSD Silver","836,00 €","APPLE","Poslovni prenosniki","Okamac","17 %","173,00 €"
"HP Pavilion 15-eh1030nf | Metal | 8 core AMD Ryzen","494,00 €","HP","Poslovni prenosniki","Geri Computer d.o.o.","0 %","0 €"
"Lenovo IdeaPad 3 15ITL6","497,00 €","LENOVO","Prenosniki za vsakdanjo uporabo","Mojracunalnik.com","0 %","0 €"
"ASUS X515KA-EJ058W","358,00 €","ASUS","Prenosniki za vsakdanjo uporabo","Mojracunalnik.com","0 %","0 €"
"LENOVO IdeaPad 5 Pro Intel Core i7-13700H 16inch WQXGA 120Hz 16GB 1TB RTX 4050 W11H Arctic Grey 2y prenosni računalnik","1.960,99 €","LENOVO","Prenosni računalniki","Big Bang","0 %","0 €"
"LENOVO IdeaPad Flex 5 AMD Ryzen 7 7730U 16inch WUXGA 16GB 512GB UMA W11H Arctic Grey MT 2y","1.096,99 €","LENOVO","Prenosni računalniki","Big Bang","0 %","0 €"
"LENOVO Legion Pro 7 16IRX8H 16"" WQXGA IPS 240Hz/Intel Core i9-13900HX/2x16GB/2x1TB/RTX4080/W11H/Onyx Grey/Gaming prenosni računalnik","3.965,99 €","LENOVO","Prenosni računalniki","Big Bang","0 %","0 €"
"LENOVO ThinkPad E15 G4 Intel Core i7-1255U 15.6inch FHD 16GB 1TB UMA W11P Black 3y prenosni računalnik","1.574,99 €","LENOVO","Prenosni računalniki","Big Bang","0 %","0 €"
"LENOVO ThinkBook 15 G4 AMD Ryzen 5 5625U 15.6inch FHD 16GB 512GB UMA DOS Mineral Grey 1y prenosni računalnik","882,99 €","LENOVO","Prenosni računalniki","Big Bang","0 %","0 €"
"LENOVO ThinkBook Yoga 14s G3 Intel Core i7-1355U 14inch FHD MT 16GB 512GB UMA W11P Mineral Grey 2y prenosni računalnik","1.516,99 €","LENOVO","Prenosni računalniki","Big Bang","0 %","0 €"
"LENOVO ThinkPad X1 Yoga G8 Intel Core i7-1355U 14inch WUXGA MT 16GB 512GB UMA W11P Storm Grey 3y","3.295,99 €","LENOVO","Prenosni računalniki","Big Bang","0 %","0 €"
"LENOVO IdeaPad Flex 5 AMD Ryzen 5 7530U 14inch WUXGA 16GB 512GB UMA W11H Arctic Grey MT 2y prenosni računalnik","950,99 €","LENOVO","Prenosni računalniki","Big Bang","0 %","0 €"
"LENOVO ThinkPad L15 G4 Intel Core i5-1335U 15.6inch FHD 16GB 512GB UMA W11P Black 3y prenosni računalnik","1.399,99 €","LENOVO","Prenosni računalniki","Big Bang","0 %","0 €"
"LENOVO IdeaPad 5 Pro AMD Ryzen 7 7735HS 16inch WQXGA 120Hz 16GB 512GB UMA W11H Arctic Grey 2y prenosni računalnik","1.268,99 €","LENOVO","Prenosni računalniki","Big Bang","0 %","0 €"
"LENOVO ThinkPad T16 G2 Intel Core i7-1355U 16inch WUXGA 32GB 1TB UMA W11P Black 3y prenosni računalnik","2.471,99 €","LENOVO","Prenosni računalniki","Big Bang","0 %","0 €"
"LENOVO ThinkPad T14 G4 Intel Core i7-1355U 14inch WUXGA 32GB 1TB UMA W11P Black 3y prenosni računalnik","2.333,99 €","LENOVO","Prenosni računalniki","Big Bang","0 %","0 €"
"HP VICTUS 16-r0001nm Intel Core i5-13500H/16.1inch FHD AG/16GB/1TB/RTX 4060 8GB/FreeDOS 3.0 Mica Silver prenosni računalnik","1.609,99 €","HP","Prenosni računalniki","Big Bang","0 %","0 €"
"HP VICTUS 16-r0002nm Intel Core i5-13500H 16.1inch FHD AG 16GB 512GB PCIe RTX 4050 6GB FreeDOS 3.0 Mica Silver prenosni računalnik","1.429,99 €","HP","Prenosni računalniki","Big Bang","0 %","0 €"
"HP VICTUS 16-r0000nm Intel Core i7-13700H 16.1inch QHD AG 32GB 1TB PCIe RTX 4070 8GB FreeDOS 3.0 Mica Silver prenosni računalnik","2.249,99 €","HP","Prenosni računalniki","Big Bang","0 %","0 €"
"HP Pavilion x360 14-ek1001nm Intel Core i5-1335U 14inch FHD Touch 16GB 512GB PCIe Intel Iris Xe W11H Natural Silver prenosni računalnik","1.059,99 €","HP","Prenosni računalniki","Big Bang","0 %","0 €"
"HP ENVY x360 13-bf0003nn Intel Core i5-1230U/13.3inch WUXGA Touch/16GB/512GB/Intel Iris Xe/W11H Natural silver prenosni računalnik","1.309,99 €","HP","Prenosni računalniki","Big Bang","0 %","0 €"
"HP Laptop 17-cp3001nm AMD Ryzen 7 7730U 17.3inch FHD AG 16GB 1TB PCIe UMA W11H Natural Silver prenosni računalnik","949,99 €","HP","Prenosni računalniki","Big Bang","0 %","0 €"
"HP Laptop 15-fd0009nm Intel Core i3-1315U 15.6inch FHD AG 8GB 512GB PCIe UMA W11H Natural Silver prenosni računalnik","709,99 €","HP","Prenosni računalniki","Big Bang","0 %","0 €"
"APPLE MacBook Air 13 M2 (8/8)/8GB/256GB/Space Gray prenosni računalnik","1.299,99 €","APPLE","Poslovni prenosniki","Big Bang","9 %","129,01 €"
"LENOVO V15 G2 Intel Core i3-1115G4/39,6 cm (15,6"") FHD/8GB/256GB/UMA/W11H prenosni računalnik črn","399,99 €","LENOVO","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"HP Victus 15-fb0000nm R7-5800H/16/512/3050Ti/W prenosni računalnik","899,99 €","HP","Gaming prenosniki","Big Bang","0 %","0 €"
"ASUS ROG Zephyrus G15 GA503RW-LN054W 39,6 cm (15,6"")/R9 6900HS/32GB/1TB/GeForce RTX 3070 Ti/W11H prenosni računalnik","1.999,99 €","ASUS","Gaming prenosniki","Big Bang","0 %","0 €"
"APPLE MacBook Pro 13-inch Apple M2 8/10 256 Si prenosni računalnik","1.629,99 €","APPLE","Poslovni prenosniki","Big Bang","0 %","0 €"
"HP 15-dw4030nm Intel Core i7-1255U 15.6inch FHD AG 16GB 512GB PCIe Intel Iris Xe W11H Chalkboard Gray","699,99 €","HP","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"MICROSOFT Surface Laptop 4 - 13,5""/Ryzen 5 4680U/8GB/256GB/Iris Xe/W10 Home prenosni računalnik","792,99 €","MICROSOFT","Poslovni prenosniki","Big Bang","13 %","122,00 €"
"Chuwi HeroBook Pro N4000/8GB/256GB/IPS 14.1 W10 Home prenosni računalnik","369,99 €","Chuwi","Prenosni računalniki","Big Bang","0 %","0 €"
"APPLE MacBook Air 13 M2 (8/8)/8GB/256GB/Starlight prenosni računalnik","1.299,99 €","APPLE","Poslovni prenosniki","Big Bang","9 %","129,01 €"
"Victus 15-fa0043nm i7-12700H/16/512/3050/Win","999,99 €","HP","Gaming prenosniki","Big Bang","16 %","199,01 €"
"GAMING PRENOSNI RAČUNALNIK GF63 THIN I5/16GB/144HZ/ RTX3050/WIFI-6/512GB/WINDOWS 11 MSI","849,00 €","MSI","Gaming prenosniki","Big Bang","0 %","0 €"
"HP Victus 15-fb0042nm R5-5600H/16/512/RTX3050/DOS gaming prenosni računalnik","799,99 €","HP","Gaming prenosniki","Big Bang","0 %","0 €"
"HP 15s-eq3072nm AMD Ryzen 5 5625U 15.6inch FHD AG 16GB 512GB PCIe UMA W11H Natural Silver","529,99 €","HP","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"LENOVO ThinkBook 15 G3 R5 8GB 512GB W10H prenosni računalnik","749,99 €","LENOVO","Poslovni prenosniki","Big Bang","0 %","0 €"
"HP Victus 16-d1058nm i7-12700H/40,9 cm (16,1"")/16GB/512GB/3050Ti/W11H prenosni računalnik","1.499,99 €","HP","Gaming prenosniki","Big Bang","0 %","0 €"
"GIGABYTE G5 GD-51EE123SD i5-11400H / RTX3050 / 15,6 / 144Hz / FHD / 16GB / 512GB / DOS prenosni računalnik","899,99 €","GIGABYTE","Gaming prenosniki","Big Bang","0 %","0 €"
"MSI GF65 Thin i5-10500H/16GB/512GB/RTX3060/144Hz/FreeDOS prenosni računalnik","896,99 €","MSI","Gaming prenosniki","Big Bang","8 %","78,00 €"
"GAMING PRENOSNI RAČUNALNIK Stealth GS66 I7(12TH)/16GB 1TB/RTX3070TI/240HZ/WINDOWS MSI","1.999,00 €","MSI","Gaming prenosniki","Big Bang","0 %","0 €"
"LENOVO ThinkBook 16p G2 R5-5600H/16""/16GB/512GB prenosni računalnik","1.099,00 €","LENOVO","Gaming prenosniki","Big Bang","0 %","0 €"
"ACER Aspire 3 A315-56-51BN i5-1035G1/8GB/256GB/15.6"" FHD/UHD/W10 Home prenosni računalnik","399,99 €","Acer","Prenosni računalniki","Big Bang","4 %","20,00 €"
"HP Victus 15-fb0026nm R5-5600H/16/512/3050/Dos","799,99 €","HP","Prenosni računalniki","Big Bang","0 %","0 €"
"CHUWI GemiBook Pro 14 IPS UHD/N5100/8/256/W10 Home prenosni računalnik","351,74 €","Chuwi","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"APPLE MacBook Pro 13-inch Apple M2 8/10 256GB SG prenosni računalnik","1.549,99 €","APPLE","Poslovni prenosniki","Big Bang","4 %","80,00 €"
"HP Victus 16-d1059nm i7-12700H/16/1/3060/Dos","1.499,99 €","HP","Gaming prenosniki","Big Bang","0 %","0 €"
"ASUS E410MA-BV1182WS CN 4/128G UMA W11HS prenosni računalnik","249,99 €","ASUS","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"HP 250 G8 2W8X8E 39,6 cm (15,6"")/i5-1135G7/Intel HD/8GB/256GB/DOS prenosni računalnik","489,99 €","HP","Poslovni prenosniki","Big Bang","6 %","35,00 €"
"LENOVO IdeaPad 3 Ryzen 5 5625U/16GB/512GB/W11 Home prenosni računalnik","759,99 €","LENOVO","Prenosni računalniki","Big Bang","0 %","0 €"
"MSI Leopard GP66 15,6''/i7/16GB/1TB/W10H prenosni računalnik","1.904,49 €","MSI","Gaming prenosniki","Big Bang","0 %","0 €"
"HP 15s-fq4009nm Intel Core i7-1195G7 15.6inch FHD AG 8GB 512GB SSD W10H 1YW prenosni računalnik","679,99 €","HP","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"HP 255 G8 4K7Z2EA 39,6 cm (15,6"")/R5-5500U/AMD Radeon/8GB/512GB/W11H prenosni računalnik","499,99 €","HP","Poslovni prenosniki","Big Bang","0 %","0 €"
"ACER Aspire 3 A315-23-R3YN AMD R5-3250U/12 GB/SSD 512GB/15,6'' FHD IPS/UMA/BrezOS prenosni računalnik črn","299,99 €","Acer","Prenosniki za vsakdanjo uporabo","Big Bang","36 %","170,00 €"
"ACER Nitro 5 AN515-57-72R3 i7-11800H/16GB/SSD 512G/15,6'' FHD IPS/RTX 3050/No OS prenosni računalnik","1.299,99 €","Acer","Gaming prenosniki","Big Bang","0 %","0 €"
"APPLE MacBook Pro 16: M2 PRO GPU/16GB/512GB- CRO prenosni računalnik Space Gray","3.261,99 €","APPLE","Multimedijski prenosniki","Big Bang","0 %","0 €"
"HP 15s-eq2149nm AMD Ryzen 3 5300U 15.6inch FHD AG 8GB 512GB PCIe UMA W11H Natural Silver","479,99 €","HP","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"HP Victus 16-e0010nm R7-5800H/16GB/512GB/RTX3050/W11 Home prenosni računalnik","999,99 €","HP","Gaming prenosniki","Big Bang","0 %","0 €"
"GIGABYTE G5 KD-52DE123SD 15,6''/i5/16GB/512GB/W10H gaming prenosnik","1.218,99 €","GIGABYTE","Gaming prenosniki","Big Bang","0 %","0 €"
"ACER ASPIRE 3 3050U 39,6 cm (15,6"")/AMD Athlon Silver 3050U/8GB/256GB/W11H prenosni računalnik","299,99 €","Acer","Poslovni prenosniki","Big Bang","0 %","0 €"
"LENOVO Legion 5 Pro Ryzen 7 6800H/40,6cm(16"")/16GB/1TB/RTX3070/W11H (storm grey) gaming prenosni računalnik","1.799,99 €","LENOVO","Gaming prenosniki","Big Bang","10 %","200,00 €"
"HP 250 G8 39,6 cm (15,6"")/i3-1115G4/Intel UHD/8GB/256GB/W11 Home prenosni računalnik","399,99 €","HP","Poslovni prenosniki","Big Bang","0 %","0 €"
"LENOVO IdeaPad Flex 5 AMD Ryzen 5 5500U 14inch WUXGA 16GB 512GB UMA W11H prenosni računalnik, siv","799,99 €","LENOVO","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"LENOVO IdeaPad 5 AMD Ryzen 5 5625U 15.6inch 16GB 512GB UMA W11H prenosni računalnik, siv","799,99 €","LENOVO","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"ACER Nitro 5 AN517-41-R9NA 17,3"" AMD Ryzen 5 5600H 16GB 512GB RTX3060 W11H prenosni računalnik","1.499,99 €","Acer","Gaming prenosniki","Big Bang","0 %","0 €"
"HP 250 G8 4K815EA 15/i3/8GB/512GB/W11 prenosni računalnik","379,99 €","HP","Prenosni računalniki","Big Bang","0 %","0 €"
"ASUS TUF Gaming A17 FA707RR-HX006W R7/16GB/1TB 3070 W11H prenosni računalnik","1.899,99 €","ASUS","Gaming prenosniki","Big Bang","0 %","0 €"
"ACER Nitro 5 AN515-57-54P i5-11400H/16GB/SSD 512GB/15,6'' FHD IPS/RTX 3050/NoOS prenosni računalnik","1.069,99 €","Acer","Gaming prenosniki","Big Bang","0 %","0 €"
"MateBook 14S/i5/16gb/ 512gb/WIN10 HOME HUAWEI","1.149,99 €","HUAWEI","Poslovni prenosniki","Big Bang","0 %","0 €"
"ASUS VivoBook S 14 Flip TN3402QA-OLED-KN721W 14"" Touch OLED WQ+ 90Hz/AMD Ryzen 7 5800H/16GB/512GB NVMe/Radeon NP/W11H Cool Silver prenosni računalnik","1.094,99 €","ASUS","Poslovni prenosniki","Big Bang","0 %","0 €"
"HP Pavilion x360 14-dy1005nm Intel Core i7-1195G7 14inch FHD Touch 8GB 512GB PCIe Intel Iris Xe Wi-Fi 6 + BT 5.2 FPR W11H","1.149,99 €","HP","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"LENOVO V15 G2 AMD Ryzen 5 5500U/39,6 cm (15,6"") FHD/8GB/512GB/UMA/W11H prenosni računalnik črn","580,99 €","LENOVO","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"ASUS ZenBook 14X UX5401EA-OLED-KN511W i5-1135G7/8GB/512GB/W11H prenosni računalnik","1.186,99 €","ASUS","Poslovni prenosniki","Big Bang","0 %","0 €"
"ACER Nitro 5 AN515-44-R0UP R7-4800H/8GB/512GB/GTX1650/W10H gaming prenosni računalnik","1.149,99 €","Acer","Prenosni računalniki","Big Bang","0 %","0 €"
"ACER Predator Helios 300 PH317-55-98SW i9-11900H 16GB 512GB RTX3060 W11H gaming prenosni računalnik","2.079,99 €","Acer","Gaming prenosniki","Big Bang","0 %","0 €"
"HP Envy x360 15-ey0004nn AMD Ryzen 5 5625U 15.6inch FHD 16GB 512GB PCIe AMD Radeon Integrated Graphics W11H Nightfall Black","899,99 €","HP","Prenosni računalniki","Big Bang","0 %","0 €"
"MICROSOFT Surface Laptop Go 2 i5-1135G7 8/128 W11H prenosni računalnik","899,99 €","MICROSOFT","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"ACER Predator Helios 300 PH317-55-9028 i9-11900H 16GB 1TB RTX3060 NoOS gaming prenosni računalnik","2.029,99 €","Acer","Gaming prenosniki","Big Bang","0 %","0 €"
"CHUWI prenosnik CoreBook PRO + Torba","499,99 €","Chuwi","Poslovni prenosniki","Big Bang","0 %","0 €"
"ASUS B1500CEAE-BQ3119X i5 16/512GB W11P prenosni računalnik","977,00 €","ASUS","Poslovni prenosniki","Big Bang","0 %","0 €"
"ACER Nitro 5 AN517-41-R3F1 17,3"" AMD Ryzen 7 5800H 16GB 512GB RTX3060 W11H gaming prenosni računalnik","1.615,99 €","Acer","Gaming prenosniki","Big Bang","0 %","0 €"
"LENOVO ThinkPad L13 Yoga G3 Intel Core i7-1255U/33,8 cm (13,3"")/WUXGA/16GB/512GB/UMA W11P prenosni računalnik thunder black","1.728,99 €","LENOVO","Poslovni prenosniki","Big Bang","0 %","0 €"
"HP 15s-eq2024nm R5-5500U/8/512/W10","449,99 €","HP","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"ASUS ExpertBook B1 B1500CEAE-EJ2952 prenosni računalnik","905,99 €","ASUS","Poslovni prenosniki","Big Bang","0 %","0 €"
"ASUS ZenBook 14 OLED UM3402YA-OLED-KM521W Ryzen 5 5625U/16GB/512GB SSD/W11 Home prenosni računalnik","1.049,99 €","ASUS","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"HP 250 G8 15.6'' FHD/i5-1135G7/Intel Iris Xe/8GB/512GB/W10H prenosni računalnik, srebrn","639,99 €","HP","Poslovni prenosniki","Big Bang","0 %","0 €"
"ACER PREDATOR PH317-55-712X i7-11800H/17,3''/16GB/512GB/RTX 3060/W11Home gaming prenosni računalnik","1.842,99 €","Acer","Gaming prenosniki","Big Bang","0 %","0 €"
"ASUS VivoBook 15X M1503IA-OLED-L721W 39,6 cm (15,6"") OLED FHD/AMD Ryzen 7 4800H/16GB/512GB/NVMe AMD Radeon Graphics/W11H prenosni računalnik Quiet Blue","849,99 €","ASUS","Prenosniki za vsakdanjo uporabo","Big Bang","8 %","80,00 €"
